#SPY	QQQ	XLF	XLE	XLV	XLP	XLRE	VIG	AGG	GLD
2.723249206542968750e+02	1.842862548828125000e+02	2.525594520568847656e+01	4.754708862304687500e+01	8.261342620849609375e+01	5.107404327392578125e+01	3.086796379089355469e+01	1.056130523681640625e+02	9.491239929199218750e+01	1.332100067138671875e+02
2.677652587890625000e+02	1.807856140136718750e+02	2.406690025329589844e+01	4.358862686157226562e+01	8.212396240234375000e+01	5.218267440795898438e+01	3.235317993164062500e+01	1.062320480346679688e+02	9.754643249511718750e+01	1.437500000000000000e+02
2.717205505371093750e+02	1.820778656005859375e+02	2.503243446350097656e+01	4.489294815063476562e+01	8.169793701171875000e+01	5.278425216674804688e+01	3.246045684814453125e+01	1.072726821899414062e+02	9.695245361328125000e+01	1.388699951171875000e+02
2.790093994140625000e+02	1.904362640380859375e+02	2.578905868530273438e+01	4.435459899902343750e+01	8.624243164062500000e+01	5.287178039550781250e+01	3.266945648193359375e+01	1.077961044311523438e+02	9.715920257568359375e+01	1.424299926757812500e+02
2.891091308593750000e+02	1.981858978271484375e+02	2.709198760986328125e+01	4.506630325317382812e+01	9.055681610107421875e+01	5.359793853759765625e+01	3.210460281372070312e+01	1.104367065429687500e+02	9.712903594970703125e+01	1.378600006103515625e+02
2.960537414550781250e+02	2.054426879882812500e+02	2.765808677673339844e+01	4.594635009765625000e+01	9.271401977539062500e+01	5.444512939453125000e+01	3.212121963500976562e+01	1.123473052978515625e+02	9.692229461669921875e+01	1.428999938964843750e+02
2.973891906738281250e+02	2.121438903808593750e+02	2.705830764770507812e+01	4.252957153320312500e+01	9.120172882080078125e+01	5.506542587280273438e+01	3.294104385375976562e+01	1.135350189208984375e+02	9.927367401123046875e+01	1.493300018310546875e+02
2.738460693359375000e+02	1.992934265136718750e+02	2.401470184326171875e+01	3.602756881713867188e+01	8.519458770751953125e+01	5.054200363159179688e+01	3.089220428466796875e+01	1.040624389648437500e+02	1.006331253051757812e+02	1.483800048828125000e+02
2.382496185302734375e+02	1.843803253173828125e+02	1.880353546142578125e+01	2.312704467773437500e+01	8.148727416992187500e+01	4.747409439086914062e+01	2.603039360046386719e+01	9.362993621826171875e+01	1.001092529296875000e+02	1.480500030517578125e+02
2.700822448730468750e+02	2.124407196044921875e+02	2.075727272033691406e+01	3.091853904724121094e+01	9.218976593017578125e+01	5.106812667846679688e+01	2.869571113586425781e+01	1.033728408813476562e+02	1.018198242187500000e+02	1.588000030517578125e+02
2.829504699707031250e+02	2.264636840820312500e+02	2.132196998596191406e+01	3.153691673278808594e+01	9.522176361083984375e+01	5.191839218139648438e+01	2.931328582763671875e+01	1.070946350097656250e+02	1.025193099975585938e+02	1.629100036621093750e+02
2.867066345214843750e+02	2.402828521728515625e+02	2.107605361938476562e+01	3.079650497436523438e+01	9.250403594970703125e+01	5.140122222900390625e+01	2.944863700866699219e+01	1.066305541992187500e+02	1.032152938842773438e+02	1.673699951171875000e+02
3.049275207519531250e+02	2.583838806152343750e+02	2.202628517150878906e+01	2.969159317016601562e+01	9.796448516845703125e+01	5.538832092285156250e+01	3.091139984130859375e+01	1.125262680053710938e+02	1.045843200683593750e+02	1.854299926757812500e+02
3.262104187011718750e+02	2.866632690429687500e+02	2.297039794921875000e+01	2.937844657897949219e+01	1.004987716674804688e+02	5.793247604370117188e+01	3.090288543701171875e+01	1.194602127075195312e+02	1.037390747070312500e+02	1.848300018310546875e+02
3.127439880371093750e+02	2.700979919433593750e+02	2.206294822692871094e+01	2.468118858337402344e+01	9.791808319091796875e+01	5.662506103515625000e+01	3.006743812561035156e+01	1.176947402954101562e+02	1.036468124389648438e+02	1.771199951171875000e+02
3.061668701171875000e+02	2.618737792968750000e+02	2.199075126647949219e+01	2.405694389343261719e+01	9.474717712402343750e+01	5.532712936401367188e+01	2.928787994384765625e+01	1.155239410400390625e+02	1.030615921020507812e+02	1.761999969482421875e+02
3.394707946777343750e+02	2.912712097167968750e+02	2.569581413269042969e+01	3.079154968261718750e+01	1.022777481079101562e+02	5.945934295654296875e+01	3.130330276489257812e+01	1.271185836791992188e+02	1.043129119873046875e+02	1.666699981689453125e+02
3.505533142089843750e+02	3.049976806640625000e+02	2.717046928405761719e+01	3.174645423889160156e+01	1.057261734008789062e+02	5.993920516967773438e+01	3.135476303100585938e+01	1.297003479003906250e+02	1.042811355590820312e+02	1.783600006103515625e+02
3.484600524902343750e+02	3.063492431640625000e+02	2.682510566711425781e+01	3.337640762329101562e+01	1.076500625610351562e+02	5.743017959594726562e+01	3.193466567993164062e+01	1.265121459960937500e+02	1.037950134277343750e+02	1.726100006103515625e+02
3.581492004394531250e+02	3.059402160644531250e+02	2.993848609924316406e+01	4.087166976928710938e+01	1.053853225708007812e+02	5.672227096557617188e+01	3.243853759765625000e+01	1.285060882568359375e+02	1.020519638061523438e+02	1.618099975585937500e+02
3.731865539550781250e+02	3.107998657226562500e+02	3.155077552795410156e+01	4.164410018920898438e+01	1.092503585815429688e+02	6.121164703369140625e+01	3.430631256103515625e+01	1.357709350585937500e+02	1.008810424804687500e+02	1.599600067138671875e+02
3.942190246582031250e+02	3.295832824707031250e+02	3.374747467041015625e+01	4.236905288696289062e+01	1.139399642944335938e+02	6.268682479858398438e+01	3.752674865722656250e+01	1.417496337890625000e+02	1.016333999633789062e+02	1.656600036621093750e+02
3.968074951171875000e+02	3.256243286132812500e+02	3.535760116577148438e+01	4.478816986083984375e+01	1.160717086791992188e+02	6.379498291015625000e+01	3.795667648315429688e+01	1.442416381835937500e+02	1.018405456542968750e+02	1.783800048828125000e+02
4.043838500976562500e+02	3.456143798828125000e+02	3.414768218994140625e+01	4.621219635009765625e+01	1.182785720825195312e+02	6.303820037841796875e+01	3.889551544189453125e+01	1.433986053466796875e+02	1.026891555786132812e+02	1.656300048828125000e+02
