#ZSP	IVOO	VIOO	ZCN	VEE	VIU	ZAG	VBG	VBU	HEP
29.34	97.720001	102.040001	18.530001	26.01	23.200001	16.049999	26.77	25.49	29.75
29.459999	97.779999	102.029999	18.32	25.700001	23.219999	16.059999	26.77	25.48	28.6
29.719999	98.830002	102.910004	18.610001	26.110001	23.43	16.059999	26.860001	25.52	29
29.309999	97.870003	101.68	18.620001	25.9	23.01	16.07	26.83	25.51	29.360001
29.26	97.75	101.260002	18.629999	25.809999	23.18	16.030001	26.76	25.51	29.370001
29.25	96.980003	100.559998	18.58	25.530001	22.870001	16.08	26.82	25.540001	29.440001
29.459999	97.93	101.68	18.82	25.799999	23.139999	16.040001	26.799999	25.530001	29.889999
29.18	96.910004	99.870003	18.780001	25.66	22.92	16.040001	26.809999	25.459999	29.860001
29.469999	96.620003	100.260002	18.65	25.719999	23.190001	15.99	26.709999	25.4	28.799999
29.530001	96.269997	99.690002	18.68	25.58	23.139999	15.99	26.74	25.360001	29.23
29.75	97.629997	100.940002	18.83	25.889999	23.370001	16.040001	26.799999	25.35	29.389999
30.18	97.400002	100.879997	18.870001	26.219999	23.77	15.97	26.780001	25.35	27.950001
30.139999	99.029999	103.010002	19.030001	26.25	23.799999	15.99	26.809999	25.379999	28.299999
29.98	99.779999	103.669998	19.049999	26.32	23.68	15.99	26.85	25.43	28.27
30.24	99.739998	103.540001	19.059999	26.41	23.809999	15.98	26.84	25.389999	27.4
30.379999	100.459999	104.230003	19.040001	26.48	23.959999	15.94	26.870001	25.43	27.4
30.440001	100.519997	104.739998	19.07	26.700001	23.870001	16.01	26.83	25.41	28.07
30.33	100.949997	105.510002	19.030001	26.549999	23.889999	16.040001	26.83	25.379999	28.18
30.5	101.5	105.889999	19.120001	26.82	23.879999	16.09	26.879999	25.450001	28.440001
30.049999	101.139999	105.440002	19.26	26.91	23.719999	16.129999	26.969999	25.6	30.530001
29.9	101.93	106.540001	19.32	26.879999	23.77	16.110001	26.92	25.559999	30.540001
29.83	102.290001	107.010002	19.440001	27.030001	23.790001	16.120001	26.969999	25.540001	30.33
29.799999	102.75	107.93	19.389999	27.09	23.77	16.110001	26.940001	25.59	30.870001
29.77	102.510002	107.410004	19.290001	26.809999	23.440001	16.139999	26.969999	25.629999	31.16
29.58	101.010002	105.949997	19	26.25	22.889999	16.200001	27.030001	25.66	30.940001
29.58	99.93	104.779999	18.93	26.02	22.709999	16.190001	27.02	25.66	30.75
29.51	99.650002	104.690002	18.83	25.780001	22.1	16.200001	27.030001	25.610001	30.75
29.68	99.790001	104.68	18.879999	26.389999	22.43	16.23	27.1	25.690001	31.51
